No.,꽃 이름,꽃말,특징,플로리스트 노트,시즌
1,콜롬비아 장미,사랑; 기쁨,송이가 크고 화형이 단단함,수입 장미는 국산보다 얼굴이 훨씬 커서 메인 꽃으로 쓰기 정말 좋아요.,봄 여름 가을 겨울
2,글로리아 장미,기쁨,화려한 그라데이션,꽃잎 끝의 색감이 오묘하게 변하는 빈티지 장미의 대표 주자예요.,봄 여름 가을 겨울
3,스프레이 카네이션,순수한 사랑,작은 송이가 여러 개,한 줄기에 여러 송이의 작은 카네이션이 달려 있어 필러 소재로 쓰기 좋아요.,봄 여름 가을 겨울
4,공조팝,노력,동글동글 뭉쳐 피는 꽃,조팝나무보다 꽃송이가 뭉쳐 있어서 더 볼륨감이 느껴져요.,봄 여름
5,냉이초,모든 것을 드림,들꽃 느낌의 필러 소재,자연스러운 가든 스타일 디자인을 할 때 공기감을 불어넣어 주는 필수 소재예요.,봄
6,아미초,우아한 자태,레이스 같은 화형,레이스처럼 섬세하고 가벼운 화형이 특징이에요.,봄 여름
7,별소국,굳은 마음,작고 단단한 소국,꽃잎이 단단해서 수명이 정말 길어요.,가을 겨울
8,설유화,애교,가늘고 긴 라인 소재,나뭇가지에 팝콘 같은 하얀 꽃이 피어서 곡선 라인을 살리기에 너무 좋아요.,봄 겨울
9,금어초,욕망,수직으로 뻗은 형태,위로 길게 뻗는 형태라 높이감이 있는 화병 꽂이나 행사 장식에 필수예요.,봄 여름 가을 겨울
10,글라디올러스,밀회,키가 크고 화려함,꽃송이가 큼직하고 키가 아주 커서 대형 장식이나 제단 장식에 주로 써요.,여름 가을
11,목수국,냉정,나무 형태의 수국,일반 수국보다 줄기가 단단하고 나무 같은 느낌이에요.,여름 가을
12,등골나물,주저,몽글몽글한 질감,가을 느낌을 물씬 풍기는 소재예요.,가을
13,심비디움,화려함,고급 서양란,겨울에 주로 나오는 고급스러운 난 종류예요.,겨울
14,반다,애정의 표시,보라색 체크무늬,보라색 체크무늬가 있는 수입 난인데 존재감이 정말 압도적이에요.,봄 여름 가을 겨울
15,루피너스,모성애,꼬깔 모양 솟은 꽃,독특한 꼬깔 모양 덕분에 작품에 위트를 줄 수 있는 꽃이에요.,봄
16,블랙잭,추억,향이 강한 대표 그린,유칼립투스 중에서 가장 대중적이고 향이 진해요.,봄 여름 가을 겨울
17,파블로,은혜,부드러운 잎사귀,블랙잭보다 잎이 작고 부드러워서 좀 더 네츄럴한 느낌을 줄 수 있어요.,봄 여름 가을 겨울
18,구니,자애,은색 빛 도는 잎,은은한 은빛이 도는 세련된 색감 때문에 인기가 많아요.,봄 여름 가을 겨울
19,폴리안,위로,넓은 잎사귀,잎이 큼직해서 커다란 꽃바구니나 행사장 베이스를 잡을 때 아주 유용해요.,봄 여름 가을 겨울
20,루스커스,영원한 결혼,물 없이도 오래 버팀,물 없이도 며칠은 거뜬할 정도로 생명력이 정말 강해요.,봄 여름 가을 겨울
21,레몬잎,신선함,반짝이는 잎,잎사귀가 단단하고 반짝여서 꽃다발의 뒷면을 받쳐주기에 가장 좋아요.,봄 여름 가을 겨울
22,말채,굳은 마음,색감 있는 줄기,겨울에 빨갛거나 노랗게 물든 줄기를 구조물로 짜서 사용해요.,겨울
23,금란,고귀,노란 빛의 난,노란빛이 도는 우아한 난으로 어른들 선물이나 명절 꽃꽂이에 필수예요.,봄 여름 가을 겨울
24,천일홍,변치 않는 사랑,드라이하기 좋음,이름처럼 꽃 모양이 오랫동안 변하지 않아서 드라이플라워용으로 최고예요.,여름 가을
25,장구채,동심,가늘고 긴 포인트 소재,가느다란 줄기 끝에 작은 꽃들이 달려 있어서 리듬감을 주기 정말 좋아요.,봄 여름
26,등대풀,수줍음,독특한 그린 필러,그린 소재지만 꽃 같은 독특한 형태를 가지고 있어요.,봄
27,용담초,슬픈 그대가 좋아,보라색 종 모양 꽃,선명한 보라색 종 모양 꽃이 줄기를 따라 피어 있어요.,가을
28,무스카리,관대한 사랑,포도송이 같은 꽃,작은 보라색 포도송이처럼 생긴 꽃이 너무 사랑스러워요.,봄
29,수레국화,행복,선명한 블루 컬러,흔치 않은 선명한 블루 컬러를 가진 꽃이라 소중해요.,봄 여름
30,니겔라,꿈길의 사랑,독특한 씨방과 잎,잎이 안개처럼 퍼져 있고 꽃 뒤의 씨방 모양도 정말 독특해요.,여름
31,에키놉스,동심,동그란 가시 공 모양,동글동글한 가시 공처럼 생긴 독특한 모양 덕분에 질감 포인트로 최고예요.,여름 가을
32,에린지움,비밀스러운 고백,푸른 빛의 가시 형태,까칠까칠한 가시 같은 형태가 중성적이고 멋스러워요.,여름 가을
33,프로테아,왕의 위엄,거대한 수입 꽃,얼굴이 성인 손바닥만큼 커서 한 송이만으로도 시선을 압도해요.,봄 여름 가을 겨울
34,방크샤,용기,독특한 질감의 열매,드라이플라워처럼 보이지만 생화 소재예요.,봄 여름 가을 겨울
35,핀쿠션,어디서나 성공,핀 꽂힌 모양 꽃,바늘꽂이에 핀이 꽂힌 것처럼 생긴 재미있는 꽃이에요.,봄 여름 가을 겨울
36,브루니아,행운,은색 구슬 소재,작은 은색 구슬들이 뭉쳐 있는 듯한 소재인데 겨울 느낌을 내기에 최고예요.,겨울
37,먼나무 열매,보호,빨간 열매 소재,가지에 빨간 열매가 조르르 달려 있어서 겨울 분위기를 내기 좋아요.,겨울
38,낙상홍,명랑,가지에 붙은 빨간 열매,가을부터 겨울까지 유통되는 대표적인 열매 소재예요.,가을 겨울
39,스노우베리,사랑의 열매,하얀 구슬 열매,하얗고 뽀얀 구슬 같은 열매가 너무 청초해서 인기 최고예요.,가을
40,스노우베리(핑크),환영,분홍빛 열매,하얀 스노우베리와는 또 다른 사랑스러운 매력이 있어요.,가을
41,버들강아지,친절,보들보들한 질감,만지면 보들보들한 솜털 같은 느낌이 너무 좋아요.,봄 겨울
42,벚꽃,절세미인,화사한 핑크 라인,봄 시즌에만 잠깐 나오는 대형 소재예요.,봄
43,목련,고귀함,큰 꽃송이 라인,커다란 꽃송이가 피어날 때의 고귀한 자태가 압도적이에요.,봄
44,몬스테라,헌신,큰 구멍 난 잎,잎이 워낙 커서 여름철 시원한 느낌의 디스플레이에 최고예요.,여름
45,고광나무,추억,하얀 꽃이 피는 나무,하얀 꽃에서 퍼지는 은은한 향기가 일품이에요.,여름
46,은엽아카시아,우정,은빛 잎사귀,잎사귀 뒷면이 은색이라 전체적으로 오묘하고 세련된 색감을 줘요.,봄 겨울
47,연밥,순결,독특한 형태의 씨방,연꽃이 지고 남은 씨방인데 그 자체로 훌륭한 디자인 요소가 돼요.,가을
48,갈대,친절,가을 바람 무드,가을의 쓸쓸하면서도 낭만적인 분위기를 내고 싶을 때 필수죠.,가을
49,목화,어머니의 사랑,따뜻한 솜 뭉치,겨울 하면 목화솜 다발을 빼놓을 수 없죠.,겨울
50,백묘국,온화함,흰 눈 내린 잎,잎 표면에 하얀 솜털이 있어서 눈이 내린 듯한 느낌을 줘요.,겨울
51,램스이어,위로,양 귀 같은 부드러움,이름처럼 양의 귀를 닮아 보들보들한 질감이 일품이에요.,봄 여름
52,베어그라스,인내,가늘고 긴 선 소재,길고 얇아서 줄기를 묶거나 땋아서 다양한 형태를 만들 수 있어요.,봄 여름 가을 겨울
53,스마일락스,생기,길게 늘어지는 덩굴,줄기가 아주 길게 늘어져서 파티 테이블이나 웨딩 천장 장식을 할 때 필수예요.,봄 여름 가을 겨울
54,아이비,행운,덩굴성 잎 소재,꽃다발 아래로 자연스럽게 늘어뜨리는 라인을 잡을 때 최고예요.,봄 여름 가을 겨울
55,남천,전화위복,빨간 단풍 잎,단풍 든 잎사귀가 너무 예뻐서 가을/겨울철 화병 꽂이 소재로 자주 사요.,가을 겨울
56,편백,변치 않는 믿음,진한 나무 향,진한 숲속 향기가 나서 작업 내내 힐링 되는 소재예요.,겨울
57,알스트로메리아,우정,화려한 점박이 무늬,꽃잎의 점박이 무늬가 이국적이고 화려해요.,봄 여름 가을 겨울
58,글로리오사,영광,타오르는 불꽃 모양,불꽃이 피어오르는 듯한 독특한 형태가 너무 멋져요.,봄 여름 가을 겨울
59,유채꽃,명랑,노란 색감의 들꽃,제주도의 봄을 그대로 옮겨온 듯한 느낌을 줘요.,봄
60,맨드라미,시들지 않는 사랑,뇌 모양/촛불 모양,질감이 벨벳처럼 보드랍고 색감이 아주 선명해요.,가을
61,유리호프스,온화,노란 작은 꽃,작은 노란 꽃이 올망졸망 피어 있어 가든 무드를 내기 좋아요.,봄 여름
62,등대꽃,수줍음,독특한 등대 모양,작은 등대가 달려 있는 듯한 형태가 아주 귀엽고 선이 예뻐요.,봄
63,보리,일상이 보물,내츄럴한 이삭 소재,초록빛 보리 이삭은 청량한 느낌을 주고 익은 보리는 수확의 계절감을 줘요.,봄
64,솔방울,불멸,겨울 장식 소재,크리스마스 소품을 만들 때 빠지면 섭섭한 소재죠.,겨울
65,버질리아,기다림,작은 알갱이 뭉치,작은 알갱이들이 몽글몽글 뭉쳐 있는 수입 소재예요.,봄 겨울
66,석죽,무심,단단하고 작은 꽃뭉치,꽃잎이 작고 단단해서 수명이 아주 길고 저렴해요.,봄 여름
67,스타치스,변치 않는 마음,보라색 종이꽃,색감이 아주 선명하고 그대로 말려도 변색이 거의 없어요.,봄 여름 가을 겨울
68,블루에레,신비,은빛 도는 침엽 소재,은빛과 푸른빛이 동시에 도는 고급스러운 겨울 소재예요.,겨울
